Date,Open,Higest,Lowest,Close,Volume,Turnover
2017/2/10,3398.32,3422.33,3398.03,3413.49,123768720,1.22E+11
2017/2/13,3416.92,3439.54,3416.87,3436.27,120144538,1.25E+11
2017/2/14,3438.51,3440.67,3424.4,3435.8,94809465,98537168896
2017/2/15,3435.39,3448.03,3417.08,3421.71,127643338,1.25E+11
2017/2/16,3421.83,3440.93,3418.35,3440.93,108276962,1.02E+11
2017/2/17,3443.62,3457.56,3419.61,3421.44,114600036,1.18E+11
2017/2/20,3421.64,3472.6,3421.64,3471.39,132628862,1.35E+11
2017/2/21,3475.06,3490.09,3472.02,3482.82,114842009,1.21E+11
2017/2/22,3483.2,3489.95,3473.52,3489.76,102815994,1.09E+11
2017/2/23,3487.57,3492.96,3460.12,3473.32,99536330,1.07E+11
2017/2/24,3468.96,3473.85,3455.25,3473.85,95535133,99875168256
2017/2/27,3471.13,3472.84,3441.39,3446.22,98672160,1.07E+11
2017/2/28,3445.03,3460.91,3441.36,3452.81,75215260,81979310080
2017/3/1,3452.21,3472.7,3449.11,3458.44,103260354,1.09E+11
2017/3/2,3463.48,3468.47,3434,3435.1,89898077,97876189184
2017/3/3,3424.66,3428.88,3412.83,3427.86,80994652,90009616384
2017/3/6,3427.25,3449.03,3425.9,3446.48,83070882,95178547200
2017/3/7,3446.16,3454.04,3440.06,3453.96,80334720,94483824640
2017/3/8,3452.2,3457.04,3441.26,3448.73,79587690,89124904960
2017/3/9,3442.9,3443.05,3414.68,3426.94,84570381,90090045440
2017/3/10,3423.98,3436.24,3423.94,3427.89,70016199,82161713152
2017/3/13,3425.67,3458.1,3412.69,3458.1,91684124,1.08E+11
2017/3/14,3456.66,3465.39,3448.9,3456.69,77077963,95317565440
2017/3/15,3452.21,3463.92,3445.27,3463.64,79104954,94056259584
